Month,Test
1/1/2003,48003
2/1/2003,47956
3/1/2003,47922
4/1/2003,47879
5/1/2003,47844
6/1/2003,47812
7/1/2003,47789
8/1/2003,47766
9/1/2003,47745
10/1/2003,47720
11/1/2003,47690
12/1/2003,47658
1/1/2004,47622
2/1/2004,47576
3/1/2004,47548
4/1/2004,47516
5/1/2004,47490
6/1/2004,47465
7/1/2004,47441
8/1/2004,47423
9/1/2004,47403
10/1/2004,47383
11/1/2004,47354
12/1/2004,47318
1/1/2005,47280
2/1/2005,47242
3/1/2005,47207
4/1/2005,47166
5/1/2005,47134
6/1/2005,47100
7/1/2005,47075
8/1/2005,47056
9/1/2005,47033
10/1/2005,47015
11/1/2005,46988
12/1/2005,46958
1/1/2006,46929
2/1/2006,46886
3/1/2006,46859
4/1/2006,46831
5/1/2006,46806
6/1/2006,46778
7/1/2006,46756
8/1/2006,46741
9/1/2006,46725
10/1/2006,46710
11/1/2006,46688
12/1/2006,46667
1/1/2007,46646
2/1/2007,46614
3/1/2007,46590
4/1/2007,46559
5/1/2007,46533
6/1/2007,46506
7/1/2007,46490
8/1/2007,46474
9/1/2007,46460
10/1/2007,46446
11/1/2007,46424
12/1/2007,46398
1/1/2008,46372
2/1/2008,46337
3/1/2008,46314
4/1/2008,46287
5/1/2008,46263
6/1/2008,46239
7/1/2008,46221
8/1/2008,46211
9/1/2008,46200
10/1/2008,46191
11/1/2008,46179
12/1/2008,46162
1/1/2009,46143
2/1/2009,46115
3/1/2009,46101
4/1/2009,46080
5/1/2009,46061
6/1/2009,46044
7/1/2009,46029
8/1/2009,46022
9/1/2009,46016
10/1/2009,46011
11/1/2009,45999
12/1/2009,45982
1/1/2010,45962
2/1/2010,45939
3/1/2010,45923
4/1/2010,45905
5/1/2010,45888
6/1/2010,45871
7/1/2010,45859
8/1/2010,45850
9/1/2010,45831
10/1/2010,45822
11/1/2010,45808
12/1/2010,45795
1/1/2011,45778
2/1/2011,45760
3/1/2011,45745
4/1/2011,45724
5/1/2011,45706
6/1/2011,45687
7/1/2011,45674
8/1/2011,45670
9/1/2011,45668
10/1/2011,45665
11/1/2011,45655
12/1/2011,45644
1/1/2012,45633
2/1/2012,45617
3/1/2012,45603
4/1/2012,45589
5/1/2012,45573
6/1/2012,45565
7/1/2012,45561
8/1/2012,45560
9/1/2012,45559
10/1/2012,45559
11/1/2012,45560
12/1/2012,45560
1/1/2013,45553
2/1/2013,45539
3/1/2013,45529
4/1/2013,45512
5/1/2013,45495
6/1/2013,45480
7/1/2013,45469
8/1/2013,45464
9/1/2013,45461
10/1/2013,45455
11/1/2013,45447
12/1/2013,45439
1/1/2014,45426
2/1/2014,45410
3/1/2014,45395
4/1/2014,45377
5/1/2014,43009
6/1/2014,42995
7/1/2014,42988
8/1/2014,42981
9/1/2014,42977
10/1/2014,42973
11/1/2014,42965
12/1/2014,42953
1/1/2015,42928
2/1/2015,42910
3/1/2015,42895
4/1/2015,42873
5/1/2015,42854
6/1/2015,42836
7/1/2015,42823
8/1/2015,42813
9/1/2015,42805
10/1/2015,42800
11/1/2015,42789
12/1/2015,42774
1/1/2016,42760
2/1/2016,42738
3/1/2016,42721
4/1/2016,42708
5/1/2016,42692
