Month,Test
1/1/2003,78635
2/1/2003,64810
3/1/2003,74245
4/1/2003,66297
5/1/2003,64418
6/1/2003,52980
7/1/2003,58700
8/1/2003,51601
9/1/2003,58492
10/1/2003,64181
11/1/2003,62101
12/1/2003,68948
1/1/2004,77057
2/1/2004,63325
3/1/2004,67388
4/1/2004,62357
5/1/2004,58988
6/1/2004,59991
7/1/2004,56219
8/1/2004,55161
9/1/2004,56689
10/1/2004,63915
11/1/2004,67986
12/1/2004,72187
1/1/2005,70462
2/1/2005,70127
3/1/2005,77167
4/1/2005,68112
5/1/2005,69048
6/1/2005,58487
7/1/2005,57191
8/1/2005,60009
9/1/2005,55790
10/1/2005,62683
11/1/2005,66386
12/1/2005,66502
1/1/2006,77309
2/1/2006,65529
3/1/2006,66249
4/1/2006,61089
5/1/2006,67422
6/1/2006,59649
7/1/2006,56432
8/1/2006,57659
9/1/2006,55781
10/1/2006,64284
11/1/2006,64960
12/1/2006,61730
1/1/2007,69837
2/1/2007,63120
3/1/2007,69465
4/1/2007,62299
5/1/2007,67620
6/1/2007,54115
7/1/2007,62830
8/1/2007,58307
9/1/2007,55185
10/1/2007,67513
11/1/2007,67532
12/1/2007,65054
1/1/2008,78929
2/1/2008,64021
3/1/2008,64303
4/1/2008,61751
5/1/2008,66928
6/1/2008,56101
7/1/2008,61507
8/1/2008,56068
9/1/2008,57581
10/1/2008,62795
11/1/2008,59529
12/1/2008,64949
1/1/2009,70788
2/1/2009,57192
3/1/2009,65063
4/1/2009,61986
5/1/2009,58442
6/1/2009,56186
7/1/2009,57348
8/1/2009,50051
9/1/2009,51970
10/1/2009,57828
11/1/2009,57102
12/1/2009,62784
1/1/2010,63895
2/1/2010,57718
3/1/2010,61383
4/1/2010,57581
5/1/2010,55312
6/1/2010,56286
7/1/2010,56766
8/1/2010,63136
9/1/2010,53794
10/1/2010,56993
11/1/2010,55525
12/1/2010,59846
1/1/2011,61034
2/1/2011,55326
3/1/2011,63265
4/1/2011,55336
5/1/2011,57795
6/1/2011,51511
7/1/2011,53266
8/1/2011,51345
9/1/2011,49445
10/1/2011,54522
11/1/2011,56724
12/1/2011,55019
1/1/2012,59381
2/1/2012,59357
3/1/2012,58140
4/1/2012,56420
5/1/2012,56778
6/1/2012,50352
7/1/2012,55200
8/1/2012,52062
9/1/2012,47530
10/1/2012,56929
11/1/2012,54484
12/1/2012,56506
1/1/2013,62738
2/1/2013,51653
3/1/2013,57459
4/1/2013,59114
5/1/2013,56591
6/1/2013,48130
7/1/2013,53979
8/1/2013,50091
9/1/2013,50764
10/1/2013,60665
11/1/2013,53129
12/1/2013,58055
1/1/2014,61569
2/1/2014,57994
3/1/2014,59943
4/1/2014,47352
5/1/2014,53989
6/1/2014,45952
7/1/2014,52892
8/1/2014,43789
9/1/2014,49719
10/1/2014,53692
11/1/2014,47944
12/1/2014,57832
1/1/2015,55287
2/1/2015,50428
3/1/2015,57059
4/1/2015,54514
5/1/2015,50070
6/1/2015,45851
7/1/2015,48291
8/1/2015,42867
9/1/2015,43642
10/1/2015,48919
11/1/2015,47087
12/1/2015,50780
1/1/2016,56236
2/1/2016,48796
3/1/2016,50367
4/1/2016,47510
5/1/2016,49717
