"Month";"Test"
"01-2003";48003.5
"02-2003";47956.5
"03-2003";47922.2
"04-2003";47879.4
"05-2003";47844.2
"06-2003";47812.9
"07-2003";47789.6
"08-2003";47766.7
"09-2003";47745.64
"10-2003";47720.094
"11-2003";47690.36
"12-2003";47658.315
"01-2004";47622.436
"02-2004";47576.831
"03-2004";47548.677
"04-2004";47516.702
"05-2004";47490.091
"06-2004";47465.003
"07-2004";47441.004
"08-2004";47423.03
"09-2004";47403.732
"10-2004";47383.486
"11-2004";47354.005
"12-2004";47318.945
"01-2005";47280.8
"02-2005";47242.9
"03-2005";47207.128
"04-2005";47166.163
"05-2005";47134.675
"06-2005";47100.419
"07-2005";47075.295
"08-2005";47056.163
"09-2005";47033.979
"10-2005";47015.251
"11-2005";46988.212
"12-2005";46958.74
"01-2006";46929.5
"02-2006";46886.356
"03-2006";46859.049
"04-2006";46831.664
"05-2006";46806.077
"06-2006";46778.668
"07-2006";46756.618
"08-2006";46741.084
"09-2006";46725.693
"10-2006";46710.831
"11-2006";46688.27
"12-2006";46667.646
"01-2007";46646
"02-2007";46614.828
"03-2007";46590.443
"04-2007";46559.578
"05-2007";46533.71
"06-2007";46506.846
"07-2007";46490.819
"08-2007";46474.535
"09-2007";46460.251
"10-2007";46446.083
"11-2007";46424.19
"12-2007";46398.114
"01-2008";46372.7
"02-2008";46337.34
"03-2008";46314.736
"04-2008";46287.138
"05-2008";46263.079
"06-2008";46239.661
"07-2008";46221.981
"08-2008";46211.075
"09-2008";46200.876
"10-2008";46191.022
"11-2008";46179.226
"12-2008";46162.805
"01-2009";46143.7
"02-2009";46115.941
"03-2009";46101.767
"04-2009";46080.455
"05-2009";46061.403
"06-2009";46044.718
"07-2009";46029.281
"08-2009";46022.306
"09-2009";46016.186
"10-2009";46011.345
"11-2009";45999.934
"12-2009";45982.936
"01-2010";45962.9
"02-2010";45939.82
"03-2010";45923.233
"04-2010";45905.341
"05-2010";45888.365
"06-2010";45871.738
"07-2010";45859.818
"08-2010";45850.918
"09-2010";45831.408
"10-2010";45822.214
"11-2010";45808.893
"12-2010";45795.911
"01-2011";45778.5
"02-2011";45760.051
"03-2011";45745.213
"04-2011";45724.242
"05-2011";45706.126
"06-2011";45687.162
"07-2011";45674.977
"08-2011";45670.036
"09-2011";45668.028
"10-2011";45665.281
"11-2011";45655.163
"12-2011";45644.419
"01-2012";45633.6
"02-2012";45617.542
"03-2012";45603.21
"04-2012";45589.171
"05-2012";45573.607
"06-2012";45565.909
"07-2012";45561.989
"08-2012";45560.272
"09-2012";45559.058
"10-2012";45559.235
"11-2012";45560.255
"12-2012";45560.251
"01-2013";45553
"02-2013";45539.121
"03-2013";45529.408
"04-2013";45512.989
"05-2013";45495.252
"06-2013";45480.315
"07-2013";45469.812
"08-2013";45464.917
"09-2013";45461.627
"10-2013";45455.065
"11-2013";45447.01
"12-2013";45439.822
"01-2014";45426.2
"02-2014";45410.071
"03-2014";45395.604
"04-2014";45377.581
"05-2014";43009.258
"06-2014";42995.52
"07-2014";42988.026
"08-2014";42981.85
"09-2014";42977.367
"10-2014";42973.696
"11-2014";42965.105
"12-2014";42953.889
"01-2015";42928.9
"02-2015";42910.885
"03-2015";42895.704
"04-2015";42873.583
"05-2015";42854.106
"06-2015";42836.922
"07-2015";42823.188
"08-2015";42813.557
"09-2015";42805.731
"10-2015";42800.501
"11-2015";42789.472
"12-2015";42774.605
"01-2016";42760.5
"02-2016";42738.07
"03-2016";42721.954
"04-2016";42708.647
"05-2016";42692.393
