DATE,TEST
1/1/1974,1396.5
2/1/1974,1405.8
3/1/1974,1666.6
4/1/1974,1704.0
5/1/1974,1788.3
6/1/1974,1731.8
7/1/1974,1477.8
8/1/1974,1537.2
9/1/1974,1658.7
10/1/1974,2030.0
11/1/1974,1849.4
12/1/1974,1688.5
1/1/1975,1585.9
2/1/1975,1623.4
3/1/1975,1819.0
4/1/1975,1979.4
5/1/1975,1964.7
6/1/1975,1889.2
7/1/1975,1624.7
8/1/1975,1620.0
9/1/1975,1848.5
10/1/1975,2084.3
11/1/1975,1917.2
12/1/1975,1830.4
1/1/1976,1675.3
2/1/1976,1851.5
3/1/1976,2197.4
4/1/1976,2192.4
5/1/1976,2242.8
6/1/1976,2244.2
7/1/1976,1699.0
8/1/1976,1818.7
9/1/1976,1992.7
10/1/1976,2075.4
11/1/1976,2070.0
12/1/1976,2053.7
1/1/1977,1891.2
2/1/1977,2012.7
3/1/1977,2500.1
4/1/1977,2260.3
5/1/1977,2438.1
6/1/1977,2322.5
7/1/1977,1817.6
8/1/1977,1768.1
9/1/1977,2144.8
10/1/1977,2381.0
11/1/1977,2222.5
12/1/1977,1990.0
1/1/1978,1858.0
2/1/1978,1945.1
3/1/1978,2411.9
4/1/1978,2451.8
5/1/1978,2654.6
6/1/1978,2612.5
7/1/1978,1995.4
8/1/1978,2143.8
9/1/1978,2396.9
10/1/1978,2805.9
11/1/1978,2583.6
12/1/1978,2512.1
1/1/1979,2424.7
2/1/1979,2378.7
3/1/1979,3052.8
4/1/1979,2804.6
5/1/1979,2919.6
6/1/1979,2940.9
7/1/1979,2527.7
8/1/1979,2519.4
9/1/1979,2777.1
10/1/1979,3347.3
11/1/1979,2895.3
12/1/1979,2507.7
1/1/1980,2598.5
2/1/1980,2733.6
3/1/1980,3392.9
4/1/1980,3149.7
5/1/1980,3074.0
6/1/1980,3069.9
7/1/1980,2499.0
8/1/1980,2648.1
9/1/1980,3040.6
10/1/1980,3078.1
11/1/1980,3113.2
12/1/1980,2997.7
1/1/1981,2736.7
2/1/1981,3239.5
3/1/1981,3747.0
4/1/1981,3639.0
5/1/1981,3691.0
6/1/1981,3927.7
7/1/1981,2977.0
8/1/1981,3103.0
9/1/1981,3302.5
10/1/1981,3145.7
11/1/1981,3213.6
12/1/1981,2841.7
1/1/1982,2463.5
2/1/1982,2593.5
3/1/1982,3346.2
4/1/1982,3065.8
5/1/1982,3189.5
6/1/1982,2942.7
7/1/1982,2667.5
8/1/1982,2634.5
9/1/1982,2837.9
10/1/1982,3089.1
11/1/1982,2512.3
12/1/1982,2377.8
1/1/1983,2671.6
2/1/1983,2675.5
3/1/1983,3555.8
4/1/1983,3223.2
5/1/1983,3440.8
6/1/1983,3329.3
7/1/1983,2634.5
8/1/1983,3031.9
9/1/1983,3421.8
10/1/1983,3516.7
11/1/1983,3437.7
12/1/1983,3305.3
1/1/1984,3477.8
2/1/1984,3683.8
3/1/1984,4182.7
4/1/1984,3992.4
5/1/1984,4587.0
6/1/1984,4093.9
7/1/1984,3688.9
8/1/1984,3712.2
9/1/1984,3645.5
10/1/1984,4020.7
11/1/1984,3944.3
12/1/1984,3495.0
1/1/1985,3779.6
2/1/1985,3706.6
3/1/1985,4246.2
4/1/1985,4171.7
5/1/1985,4467.5
6/1/1985,4570.5
7/1/1985,3720.9
8/1/1985,3502.0
9/1/1985,4030.0
10/1/1985,4085.3
11/1/1985,3695.7
12/1/1985,3275.0
1/1/1986,3999.1
2/1/1986,3786.0
3/1/1986,3659.2
4/1/1986,4057.3
5/1/1986,3780.9
6/1/1986,3857.5
7/1/1986,3172.4
8/1/1986,3094.7
9/1/1986,4119.4
10/1/1986,4175.9
11/1/1986,3911.1
12/1/1986,3719.0
1/1/1987,4152.3
2/1/1987,4762.8
3/1/1987,5258.9
4/1/1987,4928.3
5/1/1987,5055.1
6/1/1987,5605.7
7/1/1987,4715.0
8/1/1987,4165.8
9/1/1987,4844.7
10/1/1987,5273.1
11/1/1987,5511.8
12/1/1987,5540.8
1/1/1988,5311.4
2/1/1988,5710.4
3/1/1988,6696.4
4/1/1988,5988.0
5/1/1988,6597.3
6/1/1988,6373.5
7/1/1988,4740.2
8/1/1988,5861.4
9/1/1988,6159.7
10/1/1988,6358.7
11/1/1988,6307.2
12/1/1988,5517.8
1/1/1989,6101.7
2/1/1989,6512.0
3/1/1989,7264.1
4/1/1989,7027.8
5/1/1989,7448.3
6/1/1989,6983.3
7/1/1989,5172.1
8/1/1989,6289.3
9/1/1989,6440.9
10/1/1989,6976.1
11/1/1989,6627.5
12/1/1989,5965.8
1/1/1990,6377.5
2/1/1990,6749.7
3/1/1990,8074.9
4/1/1990,7367.6
5/1/1990,7933.3
6/1/1990,7553.0
7/1/1990,6126.6
8/1/1990,6767.5
9/1/1990,6385.8
10/1/1990,7460.1
11/1/1990,6916.2
12/1/1990,5961.6
1/1/1991,6800.8
2/1/1991,6422.5
3/1/1991,7008.1
4/1/1991,7587.1
5/1/1991,7662.1
6/1/1991,7422.9
7/1/1991,6420.5
8/1/1991,6794.2
9/1/1991,7318.9
10/1/1991,8231.0
11/1/1991,7402.7
12/1/1991,6079.0
1/1/1992,6921.5
2/1/1992,7040.3
3/1/1992,8204.3
4/1/1992,7826.3
5/1/1992,7679.2
6/1/1992,8428.6
7/1/1992,6877.0
8/1/1992,7034.6
9/1/1992,7849.7
10/1/1992,8009.4
11/1/1992,7662.5
12/1/1992,7060.9
1/1/1993,6878.4
2/1/1993,7746.7
3/1/1993,9497.9
4/1/1993,8780.6
5/1/1993,8791.6
6/1/1993,9070.0
7/1/1993,7057.9
8/1/1993,8327.0
9/1/1993,8571.5
10/1/1993,8906.2
11/1/1993,8910.7
12/1/1993,7905.7
1/1/1994,7578.1
2/1/1994,8182.6
3/1/1994,10409.4
4/1/1994,9383.2
5/1/1994,10018.2
6/1/1994,10187.7
7/1/1994,7642.1
8/1/1994,9912.4
9/1/1994,10219.8
10/1/1994,10490.3
11/1/1994,10590.1
12/1/1994,9824.7
1/1/1995,10101.3
2/1/1995,10161.6
3/1/1995,11718.5
4/1/1995,10601.3
5/1/1995,11419.9
6/1/1995,10937.5
7/1/1995,8435.4
8/1/1995,10833.8
9/1/1995,10777.8
10/1/1995,11429.0
11/1/1995,11077.8
12/1/1995,9732.1
1/1/1996,10301.2
2/1/1996,11211.5
3/1/1996,11599.8
4/1/1996,11499.7
5/1/1996,11455.8
6/1/1996,11320.3
7/1/1996,9646.6
8/1/1996,10935.1
9/1/1996,11673.1
10/1/1996,12120.0
11/1/1996,12144.9
12/1/1996,10302.2
1/1/1997,11733.3
2/1/1997,12101.5
3/1/1997,13000.8
4/1/1997,13289.3
5/1/1997,12977.4
6/1/1997,12506.4
7/1/1997,11112.6
8/1/1997,12255.5
9/1/1997,13407.3
10/1/1997,14093.1
11/1/1997,12867.1
12/1/1997,12422.4
1/1/1998,12117.8
2/1/1998,12924.0
3/1/1998,14573.1
4/1/1998,13920.7
5/1/1998,13543.0
6/1/1998,13379.3
7/1/1998,10517.0
8/1/1998,12124.0
9/1/1998,13254.9
10/1/1998,14010.1
11/1/1998,13576.1
12/1/1998,12663.5
1/1/1999,12134.0
2/1/1999,13047.8
3/1/1999,14984.4
4/1/1999,14126.7
5/1/1999,14150.7
6/1/1999,14567.0
7/1/1999,11519.3
8/1/1999,13815.1
9/1/1999,14423.0
10/1/1999,14824.3
11/1/1999,15099.4
12/1/1999,13908.3
1/1/2000,13604.5
2/1/2000,14968.6
3/1/2000,17085.7
4/1/2000,14794.3
5/1/2000,15833.8
6/1/2000,16053.6
7/1/2000,12152.8
8/1/2000,15325.4
9/1/2000,14847.4
10/1/2000,15725.1
11/1/2000,15159.3
12/1/2000,13390.4
1/1/2001,13666.6
2/1/2001,13356.8
3/1/2001,15523.7
4/1/2001,14403.2
5/1/2001,15107.8
6/1/2001,15050.6
7/1/2001,11700.2
8/1/2001,13764.2
9/1/2001,12423.0
10/1/2001,13894.7
11/1/2001,13214.0
12/1/2001,11319.3
1/1/2002,12061.5
2/1/2002,12368.2
3/1/2002,13954.0
4/1/2002,14113.5
5/1/2002,14586.2
6/1/2002,14213.7
7/1/2002,11607.2
8/1/2002,13913.1
9/1/2002,13333.9
10/1/2002,14702.4
11/1/2002,13908.3
12/1/2002,12160.7
1/1/2003,12889.7
2/1/2003,13292.6
3/1/2003,15359.6
4/1/2003,14646.4
5/1/2003,15208.0
6/1/2003,15003.2
7/1/2003,12029.5
8/1/2003,12989.7
9/1/2003,14518.1
10/1/2003,15554.6
11/1/2003,14598.2
12/1/2003,13834.0
1/1/2004,13315.8
2/1/2004,14398.6
3/1/2004,17227.0
4/1/2004,16027.0
5/1/2004,16311.4
6/1/2004,16433.1
7/1/2004,13863.8
8/1/2004,16069.5
9/1/2004,16633.1
10/1/2004,16969.4
11/1/2004,16675.5
12/1/2004,15955.6
1/1/2005,15568.4
2/1/2005,16092.3
3/1/2005,18919.8
4/1/2005,18105.2
5/1/2005,18327.1
6/1/2005,18684.5
7/1/2005,14719.6
8/1/2005,18250.1
9/1/2005,18368.3
10/1/2005,18746.5
11/1/2005,18417.3
12/1/2005,17699.6
1/1/2006,17261.1
2/1/2006,17930.9
3/1/2006,21153.3
4/1/2006,19102.5
5/1/2006,20489.6
6/1/2006,20874.7
7/1/2006,16621.1
8/1/2006,20287.5
9/1/2006,19249.1
10/1/2006,19975.2
11/1/2006,19730.0
12/1/2006,17980.9
1/1/2007,17803.6
2/1/2007,18334.5
3/1/2007,22006.8
4/1/2007,20219.8
5/1/2007,21792.6
6/1/2007,21767.5
7/1/2007,18772.0
8/1/2007,21379.0
9/1/2007,21055.0
10/1/2007,23299.7
11/1/2007,22652.1
12/1/2007,19805.8
1/1/2008,20409.0
2/1/2008,21202.6
3/1/2008,22834.1
4/1/2008,23420.3
5/1/2008,24479.4
6/1/2008,23752.9
7/1/2008,22336.9
